codigo;febraban;nome;website
144;true;BEXS Banco de Câmbio S.A.;www.bexs.com.br
;false;BMW Financeira S.A. - Crédito, Financiamento e Investimento;www.bmwfs.com.br
17;true;BNY Mellon Banco S.A.;www.bnymellon.com.br
126;false;BR Partners Banco de Investimento S.A.;www.brap.com.br
70;true;BRB - Banco de Brasília S.A.;www.brb.com.br
92;false;Brickell S.A. Crédito, Financiamento e Investimento;www.brickellcfi.com.br
;false;BRK S.A. Crédito, Financiamento e Investimento;
;false;BV Financeira S.A. - Crédito, Financiamento e Investimento;www.bvfinanceira.com.br
104;true;Caixa Econômica Federal;www.caixa.gov.br
;false;Caruana S.A. - Sociedade de Crédito, Financiamento e Investimento;
;false;CCB Brasil S.A. - Crédito, Financiamentos e Investimentos;www.sulfinanceira.com.br
;false;Central das Cooperativas de Crédito do Estado de São Paulo - SICOOB CENTRAL CECRESP;
114-7;false;Central das Cooperativas de Economia e Crédito Mútuo do Estado do Espírito Santo Ltda.;www.cecoop.com.br
320;true;China Construction Bank (Brasil) Banco Múltiplo S.A.;www.br.ccb.com
477;true;Citibank N.A.;www.citibank.com
163;false;Commerzbank Brasil S.A. - Banco Múltiplo;www.commerzbank.com.br
85;false;Cooperativa Central de Crédito - AILOS;www.ailos.coop.br
97;false;Cooperativa Central de Crédito Noroeste Brasileiro Ltda.;www.credisis.com.br
090-2;false;Cooperativa Central de Economia e Crédito Mutuo - SICOOB UNIMAIS;www.sicoobunimais.com/
087-6;false;Cooperativa Central de Economia e Crédito Mútuo das Unicreds de Santa Catarina e Paraná;www.unicred.com.br/centralscpr/
089-2;false;Cooperativa de Crédito Rural da Região da Mogiana;www.credisan.com.br
098-1;false;CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL;www.credialianca.com.br
;false;Credicoamo Crédito Rural Cooperativa;
;false;Credjust - Cooperativa de Crédito Mútuo dos Integrantes da Justiça da 13ª Região LTDA.;
;false;Dacasa Financeira S.A.-Soc. de Créd. Financ. e Investimento;www.dacasa.com.br
;false;Daycoval Leasing - Banco Múltiplo S.A.;www.daycoval.com.br
487;true;Deutsche Bank S.A. - Banco Alemão;www.deutsche-bank.com.br
